company,projectName,location,country,industry,region,type,services,date,completed,description,lat,lng
Punj Lloyd Ltd.,"Pre-Engineering, Pre-Construction and As Built Survey for Sub Marine Pipeline and Cable from Jawahar Dweep to Pir Pau","Mumbai, Maharashtra",India,Engineering & Construction,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-10-2016,Completed in December 2016,"Pre-Engineering, Pre-Construction and As Built Survey for Sub Marine Pipeline and Cable from Jawahar Dweep to Pir Pau. (Completed in December 2016)",18.95,72.9
KPB Consultants Ltd.,Marine Monitoring Services for DDV Survey at New Lusail Island and Channel (Qatar),"New Lusail Island, Qatar",Qatar,Engineering & Construction,Middle East,Marine Monitoring Services,Shallow & Deep Water Oceanography,01-10-2016,Completed in October 2016,Marine Monitoring Services for DDV Survey at New Lusail Island and Channel (Qatar). (Completed in October 2016),25.4,51.5167
Adani Ports & Special Economic Zone Ltd.,Providing Survey Services at Vizhinjam Port,"Vizhinjam, Kerala",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-09-2016,Completed in March 2018,Providing Survey Services at Vizhinjam Port. (Completed in March 2018),8.378,76.99
Elcome Integrated Systems Pvt. Ltd.,Provision of Survey personnel for Qinsy software,Not specified,India,Marine Technology & Equipment,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-09-2016,Completed in October 2016,Provision of Survey personnel for Qinsy software. (Completed in October 2016),19.076,72.8777
Reliance Power Ltd.,"Bathymetry and Geophysical Survey at Kutubdia Island, Bangladesh.",Bangladesh,Bangladesh,Power & Renewables,Asia,Bathymetry AND Geophysical Survey,Bathymetry Survey; Geophysical Survey,01-09-2016,Completed in February 2017,"Bathymetry and Geophysical Survey at Kutubdia Island, Bangladesh (Completed in February 2017)",22,90.5
Dharti Dredging and Infrastructure Ltd.,Consulting Services towards Weather forecasting for Kudankulam and Vizhinjam Port,"Tuticorin, Tamil Nadu",India,Engineering & Construction,Asia,Weather Forecasting Services,Weather Forecasting Services,01-09-2016,Completed in November 2016,Consulting Services towards Weather forecasting for Kudankulam and Vizhinjam Port. (Completed in November 2016),8.76,78.13
MUSC FZE,Survey Support Services for MUSC UXO Survey off Kuwait,Kuwait,Kuwait,Power & Renewables,Middle East,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search,01-09-2016,Completed in October 2016,Survey Support Services for MUSC UXO Survey off Kuwait. (Completed in October 2016),29.37,47.98
G.R.S. Consultant FZE,UXO Survey data Acquisition and interpretation (UK),United Kingdom,United Kingdom,Survey & Geoscience Contractors,Europe,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search,01-08-2016,Completed in September 2016,UXO Survey data Acquisition and interpretation (UK). (Completed in September 2016),55.3781,-3.436
KPB Consultants Ltd.,Marine Ecological Studies (KSA),Saudi Arabia,Saudi Arabia,Engineering & Construction,Middle East,Marine Ecological Studies,Shallow & Deep Water Oceanography,01-08-2016,Completed in October 2016,Marine Ecological Studies (KSA). (Completed in October 2016),26,50.1
MicroStep-MIS FZE,Deployment of Weather Monitoring Buoys off Kuwait,Kuwait,Kuwait,Marine Technology & Equipment,Middle East,Weather Monitoring,Weather Forecasting Services,01-08-2016,Completed in August 2016,Deployment of Weather Monitoring Buoys off Kuwait. (Completed in August 2016),29.37,47.98
Standards Environmental & Analytical Laboratories,"Environmental Monitoring for IOCL, Kochi","Kochi, Kerala",India,Engineering & Construction,Asia,Environmental Monitoring,Shallow & Deep Water Oceanography,01-08-2016,Completed in August 2016,"Environmental Monitoring for IOCL, Kochi. (Completed in August 2016)",9.931,76.267
"IIT, Bombay",Mithi River Discharge Measurement,"Mumbai, Maharashtra",India,Academia & Research,Asia,GEOTECHNICAL SURVEY,Geotechnical Services,01-06-2016,Completed in August 2016,Mithi River Discharge Measurement. (Completed in August 2016),18.95,72.9
Shrikhande Consultants Pvt. Ltd.,"Consultancy Services for undertaking feasibility study for capital dredging at SBW jetty at ND (MB) for Naval Dockyard, Mumbai - Survey Work.","Mumbai, Maharashtra",India,Engineering & Construction,Asia,Shallow & Deep Water Oceanography,Shallow & Deep Water Oceanography; Bathymetry Survey,01-05-2016,Completed in May 2016,"Consultancy Services for undertaking feasibility study for capital dredging at SBW jetty at ND (MB) for Naval Dockyard, Mumbai - Survey Work (Completed in May 2016)",18.95,72.9
Tridel Meteorology Projects Contracting LLC,Provision of Survey Personnel for On-site Services.,India,India,Survey & Geoscience Contractors,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-04-2016,,Provision of Survey Personnel for On-site Services,19.076,72.8777
Samudra Consultants Pvt. Ltd.,Conducting field monitoring programme for data Collection for development of outer harbour in Cochin Port.,"Kochi, Kerala",India,"Ports, Shipyards & Harbours",Asia,Shallow & Deep Water Oceanography AND Bathymetry Survey,Shallow & Deep Water Oceanography; Bathymetry Survey,01-04-2016,Completed in May 2017,Conducting field monitoring programme for data Collection for development of outer harbour in Cochin Port (Completed in May 2017),9.931,76.267
Adani Vizhinjam Port Pvt. Ltd.,Shoreline Monitoring - Oceanographic & Bathymetric Data Collection,"Vizhinjam, Kerala",India,Survey & Geoscience Contractors,Asia,Bathymetric Survey,Bathymetry Survey,01-02-2016,Completed in May 2019,Shoreline Monitoring - Oceanographic & Bathymetric Data Collection. (Completed in May 2019),8.378,76.99
Swiber Offshore Construction Pte. Ltd.,"Side Scan Survey for As-laid 20"" Pipeline from C-24-P1 to TCPP North of Mumbai High, Tapti Oilfield, Off Daman, West Coast of India","Mumbai, Maharashtra",India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-02-2016,Completed in February 2016,"Side Scan Survey for As-laid 20"" Pipeline from C-24-P1 to TCPP North of Mumbai High, Tapti Oilfield, Off Daman, West Coast of India. (Completed in February 2016)",18.95,72.9
Infinium Solutions Pvt. Ltd.,Bathymetric Survey at Okha and Porbander Port,"Okha/Porbandar, Gujarat",India,Engineering & Construction,Asia,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-02-2016,Completed in March 2016,Bathymetric Survey at Okha and Porbander Port. (Completed in March 2016),22.1,69.3
"Tecnica T Proyectos, S.A. (TYPSA, Spain)",Consultancy services for preparation of detailed project report for development of Colachel port in Tamil Nadu,Kerala Coast,India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-02-2016,,Consultancy services for preparation of detailed project report for development of Colachel port in Tamil Nadu.,9,76.5
Cairn India Ltd.,Vessel Positioning Services for Ravva Field,"Ravva Field, Andhra Pradesh",India,Oil & Gas,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-01-2016,Completed in 2019,Vessel Positioning Services for Ravva Field. (Completed in 2019),16.35,82
Dahej Harbour Infrastructure Limited,"Bathymetric Survey of DHIL Jetty at Dahej, Gujarat","Dahej, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetric Survey,Bathymetry Survey,01-01-2016,Completed in February 2016,"Bathymetric Survey of DHIL Jetty at Dahej, Gujarat. (Completed in February 2016)",21.702,72.584
PMC Projects India Pvt. Ltd,"Water Sampling at Vizhinjam, Trivandrum","Vizhinjam, Kerala",India,Engineering & Construction,Asia,Geotechnical SERVICES,Geotechnical Services,01-12-2015,Completed in February 2016,"Water Sampling at Vizhinjam, Trivandrum. (Completed in February 2016)",8.378,76.99
Atlantis Consultancy,Provision of Client Rep on board Cable Route Survey Vessel for AAE 1 Project.,"Bassein, Mumbai",India,Telecom Operators & Cable Owners,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-11-2015,Completed in December 2015,Provision of Client Rep on board Cable Route Survey Vessel for AAE 1 Project (Completed in December 2015),19.076,72.8777
Whitmer Offshore Pte. Ltd. / Swiber Offshore Construction Pvt. Ltd.,As laid survey for WO-16 to BPB pipeline in Bassein field,"Mumbai, Maharashtra",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-11-2015,Completed in November 2015,As laid survey for WO-16 to BPB pipeline in Bassein field. (Completed in November 2015),18.95,72.9
Adani Kandla Bulk Terminal Pvt. Ltd.,Multibeam Survey of dredge dumping and Channel Survey of 250 line km.,"Kandla, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-11-2015,Completed in November 2015,Multibeam Survey of dredge dumping and Channel Survey of 250 line km (Completed in November 2015),23.03,70.22
Adani Vizhinjam Port Pvt. Ltd.,Multibeam Bathymetric Survey at Vizhinjam,"Vizhinjam, Kerala",India,"Ports, Shipyards & Harbours",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-10-2015,Completed in October 2015,Multibeam Bathymetric Survey at Vizhinjam. (Completed in October 2015),8.378,76.99
Cairn India Limited,"Vessel Positioning Services for Mangala Refinery Project, Bhogat, Gujarat","Mundra, Gujarat",India,Oil & Gas,Asia,CP Survey,Cathodic Protection (CP) Survey,01-10-2015,,"Vessel Positioning Services for Mangala Refinery Project, Bhogat, Gujarat.",22.7754,69.7158
HPCL-Mittal Energy Ltd.,"Free Span and CP Survey at HMPL, Mundra, Gujarat","Mundra, Gujarat",India,Oil & Gas,Asia,Bathymetry Survey,Bathymetry Survey,01-10-2015,Completed in November 2015,"Free Span and CP Survey at HMPL, Mundra, Gujarat. (Completed in November 2015)",22.839,69.721
"IIT, Bombay",Mithi River Discharge Measurement,"Mumbai, Maharashtra",India,Academia & Research,Asia,Not specified,Shallow & Deep Water Oceanography,01-08-2015,Completed in September 2015,Mithi River Discharge Measurement. (Completed in September 2015),18.95,72.9
Howe Engineering Projects (India) Pvt. Ltd.,Detailed Feasibility Study for Capacity Augmentation of National Waterway-1 & Detailed Engineering for its Ancillary Works and Processes between Haldia to Allahabad (Jal Marg Vikas Project),"National Waterways, India",India,Engineering & Construction,Asia,Geophysical Survey,Geophysical Survey,01-08-2015,Completed in December 2015,Detailed Feasibility Study for Capacity Augmentation of National Waterway-1 & Detailed Engineering for its Ancillary Works and Processes between Haldia to Allahabad (Jal Marg Vikas Project). (Completed in December 2015),24,82
EGS (Asia) Ltd.,Provision of personnel support on vessel Northern Endeavour,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-07-2015,Completed in September 2015,Provision of personnel support on vessel Northern Endeavour. (Completed in September 2015),1.3521,103.8198
Amwaj International,"Multibeam Seabed Survey, Sub Bottom Profiling and Collection of Soil Samples at Jaigarh Port","Konkan Coast, Maharashtra",India,Survey & Geoscience Contractors,Asia,"Multibeam Seabed Survey, Sub Bottom Profiling AND GEOTECHNICAL SURVEY",Bathymetry Survey; Geophysical Survey; Geotechnical Services,01-06-2015,Completed in June 2015,"Multibeam Seabed Survey, Sub Bottom Profiling and Collection of Soil Samples at Jaigarh Port. (Completed in June 2015)",17.6,73.2
EGS (Asia) Ltd.,Provision of personnel support on vessel EGS Surveyor,Not specified,Singapore,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2015,Completed in August 2015,Provision of personnel support on vessel EGS Surveyor. (Completed in August 2015),1.3521,103.8198
Shankar And Co.,Marine Seismic Survey,Not specified,India,Survey & Geoscience Contractors,Asia,Geophysical Survey,Geophysical Survey,01-05-2015,Completed in May 2015,Marine Seismic Survey. (Completed in May 2015),19.076,72.8777
Mumbai Port Trust,Bathymetry and Sub Bottom Profiler Survey at Kanhoji Angre Island.,"Mumbai, Maharashtra",India,"Ports, Shipyards & Harbours",Asia,Bathymetry SURVEY and Sub Bottom Profiler Survey,Bathymetry Survey; Geophysical Survey,01-05-2015,Completed in May 2015,Bathymetry and Sub Bottom Profiler Survey at Kanhoji Angre Island (Completed in May 2015),18.95,72.9
"SOWiL, Navi Mumbai",Marine Survey for MTHL Project,"Konkan Coast, Maharashtra",India,Engineering & Construction,Asia,Not specified,Bathymetry Survey; Geophysical Survey,01-05-2015,Completed in May 2015,Marine Survey for MTHL Project. (Completed in May 2015),17.6,73.2
OER Services Ltd. / Swiber Offshore Construction Pvt. Ltd.,"Side Scan System - Post Lay survey of the 8"" pipeline from WO 15 to SL 4.",Not specified,India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-04-2015,Completed in May 2015,"Side Scan System - Post Lay survey of the 8"" pipeline from WO 15 to SL 4 (Completed in May 2015)",19.076,72.8777
Jawaharlal Nehru Port Ltd. (JNPT),"Multibeam bathymetry, Sub-bottom profiler surveys and Geo-technical investigation in Mumbai Harbour Channel and JN Port Channel.","Mumbai, Maharashtra",India,"Ports, Shipyards & Harbours",Asia,"Bathymetry SURVEY, Geophysical Survey surveys and Geotechnical SURVEYS",Bathymetry Survey; Geophysical Survey; Geotechnical Services,01-04-2015,Completed in May 2015,"Multibeam bathymetry, Sub-bottom profiler surveys and Geo-technical investigation in Mumbai Harbour Channel and JN Port Channel (Completed in May 2015)",18.95,72.9
Dunnimaa Engineers & Divers Enterprises Pvt. Ltd.,Positioning Services at Mumbai Offshore for Great Ship India Ltd.,"Mumbai, Maharashtra",India,"Marine Salvage, Diving & Shipping",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-03-2015,Completed in March 2015,Positioning Services at Mumbai Offshore for Great Ship India Ltd (Completed in March 2015),18.95,72.9
Dunnimaa Engineers & Divers Enterprises Pvt. Ltd,Positioning Services at Kakinada for ONGC.,"Kakinada, Andhra Pradesh",India,"Marine Salvage, Diving & Shipping",Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-03-2015,Completed in March 2015,Positioning Services at Kakinada for ONGC (Completed in March 2015),16.989,82.247
Reliance Infrastructure Limited,Survey to assess the physical condition of Raw Water Pipeline in 600 M at damage location at Sasan UMPP,"Sasan UMPP, Madhya Pradesh",India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-02-2015,Completed in March 2015,Survey to assess the physical condition of Raw Water Pipeline in 600 M at damage location at Sasan UMPP. (Completed in March 2015),23.9786,82.6322
Telecommunications Consultants India Limited (TCIL),"Desktop Study (DTS) for connecting Andaman & Nicobar Island with Chennai, India on Submarine Optical Fibre Cable","Chennai, Tamil Nadu",India,Telecom Operators & Cable Owners,Asia,Desktop Study for Offshore Projects AND Submarine Cable Route Surveys,Desktop Study for Offshore Projects; Submarine Cable Route Surveys,01-03-2015,Completed in March 2015,"Desktop Study (DTS) for connecting Andaman & Nicobar Island with Chennai, India on Submarine Optical Fibre Cable. (Completed in March 2015)",13.083,80.27
Aryas Surveyors and Contractors Pvt. Ltd.,Bathymetry and Topo Survey of Chandil Reservoir under Subernarekha Multipurpose Project (SMP) - Jharkhand.,Jharkhand,India,Survey & Geoscience Contractors,Asia,Topographic Survey,Topographic Survey; Shallow & Deep Water Oceanography; Bathymetry Survey,01-02-2015,Completed in March 2015,Bathymetry and Topo Survey of Chandil Reservoir under Subernarekha Multipurpose Project (SMP) - Jharkhand (Completed in March 2015),22.96,86.02
EGS (Asia) Ltd,"Landfall survey operation for SMW5 Submarine Fibre Optic Cable Project, Bangladesh",Bangladesh,Bangladesh,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-03-2015,Completed in January 2016,"Landfall survey operation for SMW5 Submarine Fibre Optic Cable Project, Bangladesh. (Completed in January 2016)",22,90.5
Vizhinjam International Seaport Limited,Shoreline Monitoring - Oceanographic & Bathymetric Data Collection,"Vizhinjam, Kerala",India,"Ports, Shipyards & Harbours",Asia,Shallow & Deep Water Oceanography,Shallow & Deep Water Oceanography; Bathymetry Survey,01-02-2015,Completed in February 2016,Shoreline Monitoring - Oceanographic & Bathymetric Data Collection. (Completed in February 2016),8.378,76.99
Mumbai Port Trust,Bathymetry and Sub Bottom Profiling Survey of Areas in the Port of Mumbai,"Mumbai, Maharashtra",India,"Ports, Shipyards & Harbours",Asia,Geophysical Survey,Geophysical Survey; Bathymetry Survey,01-01-2015,Completed in February 2015,Bathymetry and Sub Bottom Profiling Survey of Areas in the Port of Mumbai. (Completed in February 2015),18.95,72.9
EGS (Asia) Ltd,Survey Support services on vessel Northern Endeavour,India,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2015,Completed in March 2015,Survey Support services on vessel Northern Endeavour. (Completed in March 2015),19.076,72.8777
EGS (Asia) Ltd,Survey Support services on vessel Geo Explorer,India,India,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-01-2015,Completed in March 2015,Survey Support services on vessel Geo Explorer. (Completed in March 2015),19.076,72.8777
Arihant Ship Breakers,Clearance Survey off Candolim Beach at Goa,Goa,India,"Marine Salvage, Diving & Shipping",Asia,Geophysical Survey,Geophysical Survey,01-01-2015,Completed in January 2015,Clearance Survey off Candolim Beach at Goa. (Completed in January 2015),15.4,73.8
Pipavav Defence and Offshore Engineering Company Ltd.,Site clearance at Pipavav Port,"Pipavav, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Geophysical Survey,Geophysical Survey,01-12-2014,Completed in December 2014,Site clearance at Pipavav Port. (Completed in December 2014),20.92,71.51
Dahej Harbour Infrastructure Limited,"Bathymetric Survey of DHIL Jetty at Dahej, Gujarat","Dahej, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-12-2014,Completed in December 2014,"Bathymetric Survey of DHIL Jetty at Dahej, Gujarat. (Completed in December 2014)",21.702,72.584
EGS (Asia) Ltd.,"BBG (Bay of Bengal Gate) Submarine Cable Route Survey off Colombo and Matara, Sri Lanka",Sri Lanka,Sri Lanka,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-12-2014,Completed in January 2015,"BBG (Bay of Bengal Gate) Submarine Cable Route Survey off Colombo and Matara, Sri Lanka. (Completed in January 2015)",6.93,79.84
Prayati Shipping Pvt. Ltd.,Stage II of Clearance Survey of wreck of M.V. River Princes off Goa Coast,Goa,India,"Marine Salvage, Diving & Shipping",Asia,Geophysical Survey,Geophysical Survey,01-10-2014,Completed in October 2014,Stage II of Clearance Survey of wreck of M.V. River Princes off Goa Coast. (Completed in October 2014),15.4,73.8
APM Terminal Pipavav,Bathymetric Survey at Gujarat Pipavav Port Limited,"Pipavav, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-10-2014,Completed in October 2014,Bathymetric Survey at Gujarat Pipavav Port Limited. (Completed in October 2014),20.92,71.51
EGS (Asia) Ltd.,Survey Support Services in Indonesia on vessel EGS Surveyor,Indonesia,Indonesia,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-09-2014,Completed in November 2014,Survey Support Services in Indonesia on vessel EGS Surveyor. (Completed in November 2014),-2.5,118
Maritime & Underwater Security Consultants,"Survey Support Services for Van Oord Dredging UXO Relocation Survey, Kuwait",Kuwait,Kuwait,"Government, Defence & Public Sector",Middle East,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search; Bathymetry Survey; Consultancy for Offshore Projects,01-09-2014,Completed in October 2014,"Survey Support Services for Van Oord Dredging UXO Relocation Survey, Kuwait. (Completed in October 2014)",29.37,47.98
Maritime & Underwater Security Consultants,"Survey Support Services for UXO Survey - KNPC, Kuwait",Kuwait,Kuwait,"Government, Defence & Public Sector",Middle East,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search; Consultancy for Offshore Projects,01-07-2014,Completed in September 2014,"Survey Support Services for UXO Survey - KNPC, Kuwait. (Completed in September 2014)",29.37,47.98
EGS (Asia) Ltd.,"Survey Support Services at Hanoi, Vietnam",Vietnam,Vietnam,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-07-2014,Completed in August 2014,"Survey Support Services at Hanoi, Vietnam. (Completed in August 2014)",20.9,106.6
Amphibia Consultants Pvt. Ltd.,Survey work for BBG Cable Route Project at Mumbai and Chennai,"Chennai, Tamil Nadu",India,Telecom Operators & Cable Owners,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-06-2014,Completed in October 2014,Survey work for BBG Cable Route Project at Mumbai and Chennai. (Completed in October 2014),13.083,80.27
"Petrolinvest DD, Bosnia",High Priority Survey for Iraq Common Seawater Supply Project,Persian Gulf (Iraq),Iraq,Oil & Gas,Middle East,Bathymetry Survey,Bathymetry Survey,01-06-2014,,High Priority Survey for Iraq Common Seawater Supply Project.,29.85,48.8
Albatross Marine Services,"Salvage of Anchor in P&V Channel, Mumbai Port","Mumbai, Maharashtra",India,"Marine Salvage, Diving & Shipping",Asia,Geophysical Survey,Geophysical Survey,01-05-2014,Completed in May 2014,"Salvage of Anchor in P&V Channel, Mumbai Port. (Completed in May 2014)",18.95,72.9
EGS (Asia) Ltd.,"Provision of Personnel for Services Provided in Colombo, vessel Northern Endeavour",Sri Lanka,Sri Lanka,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-05-2014,Completed in July 2014,"Provision of Personnel for Services Provided in Colombo, vessel Northern Endeavour. (Completed in July 2014)",6.93,79.84
Angre Port Pvt. Limited,Survey of Dredge Channel using Dual Frequency Echosounder of Multibeam Echosounder,"Konkan Coast, Maharashtra",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-03-2014,Completed in March 2014,Survey of Dredge Channel using Dual Frequency Echosounder of Multibeam Echosounder. (Completed in March 2014),17.6,73.2
Arihant Ship Breakers,"Survey of wreck of MV River Princess, off Candolim, Goa",Goa,India,"Marine Salvage, Diving & Shipping",Asia,Geophysical Survey,Geophysical Survey,01-03-2014,Completed in April 2014,"Survey of wreck of MV River Princess, off Candolim, Goa. (Completed in April 2014)",15.4,73.8
Resolve Marine Group,UXO Search Survey Near Sunken Submarine for Resolve Marine Group at Naval Dockyard,India,India,"Marine Salvage, Diving & Shipping",Asia,Gradiometer Surveys for UXO Search,Gradiometer Surveys for UXO Search; Geophysical Survey,01-02-2014,Completed in March 2014,UXO Search Survey Near Sunken Submarine for Resolve Marine Group at Naval Dockyard. (Completed in March 2014),19.076,72.8777
Maritime & Underwater Security Consultants,Bathymetry Survey off Iraq,Persian Gulf (Iraq),Iraq,"Government, Defence & Public Sector",Middle East,Bathymetry Survey,Bathymetry Survey,01-02-2014,Completed in February 2014,Bathymetry Survey off Iraq. (Completed in February 2014),29.85,48.8
Dharti Dredging and Infrastructure Ltd.,Barge Positioning,India,India,Engineering & Construction,Asia,Wide Area Positioning Services,Wide Area Positioning Services,01-01-2014,Completed in April 2014,Barge Positioning. (Completed in April 2014),19.076,72.8777
EGS (Asia) Ltd,BBG Submarine Cable Route Survey off Colombo,Sri Lanka,Sri Lanka,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-12-2013,Completed in December 2013,BBG Submarine Cable Route Survey off Colombo. (Completed in December 2013),6.93,79.84
EGS (Asia) Ltd,Provision of Personnel for Services provided in Cebu,Philippines,Philippines,Submarine Cable Contractors,Asia,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-11-2013,Completed in November 2013,Provision of Personnel for Services provided in Cebu. (Completed in November 2013),10.3,123.9
Dahej Harbour Infrastructure Limited,Bathymetric Survey of DHIL Jetty,"Dahej, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-11-2013,Completed in November 2013,Bathymetric Survey of DHIL Jetty. (Completed in November 2013),21.702,72.584
Dharti Dredging and Infrastructure Ltd.,"Consultancy services for Pinger Survey at Kakinada, Yanam GSPC Project","Kakinada, Andhra Pradesh",India,Engineering & Construction,Asia,Geophysical Survey,Geophysical Survey; Consultancy for Offshore Projects,01-11-2013,Completed in November 2013,"Consultancy services for Pinger Survey at Kakinada, Yanam GSPC Project. (Completed in November 2013)",16.989,82.247
APM Terminals Pipavav,Multibeam Bathymetric Survey at APM Terminals Pipavav,"Pipavav, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-10-2013,Completed in October 2013,Multibeam Bathymetric Survey at APM Terminals Pipavav. (Completed in October 2013),20.92,71.51
Reliance Industries Limited,Deep Water Real Time Current Measurement & MetOcean Services,India,India,Oil & Gas,Asia,Shallow & Deep Water Oceanography,Shallow & Deep Water Oceanography,01-07-2013,Completed,Deep Water Real Time Current Measurement & MetOcean Services. (Completed),19.076,72.8777
Mumbai Port Trust,Bathymetry Survey at MPT,"Mumbai, Maharashtra",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-07-2013,Completed in July 2013,Bathymetry Survey at MPT. (Completed in July 2013),18.95,72.9
HPCL-Mittal Energy Ltd.,Hydraulic Survey at the SPM location at Mundra,"Mundra, Gujarat",India,Oil & Gas,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys; Shallow & Deep Water Oceanography,01-06-2013,Completed in June 2014,Hydraulic Survey at the SPM location at Mundra. (Completed in June 2014),22.839,69.721
Engineers India Ltd.,"As-Built Survey of Breakwaters at RGPPL, Dabhol","Konkan Coast, Maharashtra",India,"Government, Defence & Public Sector",Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys,01-05-2013,Completed in May 2013,"As-Built Survey of Breakwaters at RGPPL, Dabhol. (Completed in May 2013)",17.6,73.2
Maritime & Underwater Security Consultants,Survey Support Services (Provision of professional Personnel and Equipment) for Al Faw Grand Port Project,Persian Gulf (Iraq),Iraq,"Government, Defence & Public Sector",Middle East,Consultancy for Offshore Projects,Consultancy for Offshore Projects,01-04-2013,Completed in July 2013,Survey Support Services (Provision of professional Personnel and Equipment) for Al Faw Grand Port Project. (Completed in July 2013),29.85,48.8
EGS Asia Limited,Provision of Personnel for services in Brazil,Brazil,Brazil,Submarine Cable Contractors,South America,Submarine Cable Route Surveys,Submarine Cable Route Surveys,01-04-2013,Completed in April 2013,Provision of Personnel for services in Brazil. (Completed in April 2013),-22.9,-43.2
Vizhinjam International Seaport Limited,"Current, Wave and Tidal observations (for one year)","Vizhinjam, Kerala",India,"Ports, Shipyards & Harbours",Asia,Shallow & Deep Water Oceanography,Shallow & Deep Water Oceanography,01-01-2013,Completed in February 2014,"Current, Wave and Tidal observations (for one year). (Completed in February 2014)",8.378,76.99
APM Terminals Pipavav,Multibeam Bathymetry Survey at Terminal Pipavav Port.,"Pipavav, Gujarat",India,"Ports, Shipyards & Harbours",Asia,Bathymetry Survey,Bathymetry Survey,01-11-2012,Completed in December 2012,Multibeam Bathymetry Survey at Terminal Pipavav Port (Completed in December 2012),20.92,71.51
Cargo Motors Pvt. Ltd.,Marine Geophysical Survey at Nargol,Nargol/Daman,India,Industrial & Materials,Asia,Geophysical Survey,Geophysical Survey,01-11-2012,Completed in December 2012,Marine Geophysical Survey at Nargol. (Completed in December 2012),20.2,72.75
Dharti Dredging and Infrastructure Ltd.,Pipeline Trench Survey and Soil and Water Sampling at Yanam,"Kakinada, Andhra Pradesh",India,Engineering & Construction,Asia,Offshore Platform Site & Pipeline Route Surveys,Offshore Platform Site & Pipeline Route Surveys; Shallow & Deep Water Oceanography,01-10-2012,Completed in October 2012,Pipeline Trench Survey and Soil and Water Sampling at Yanam. (Completed in October 2012),16.989,82.247
Boskalis Dredging India Pvt. Ltd.,Multibeam Survey in JNPT and MBPT Channel,"Mumbai, Maharashtra",India,Engineering & Construction,Asia,Bathymetry Survey,Bathymetry Survey,01-09-2012,Completed in September 2012,Multibeam Survey in JNPT and MBPT Channel. (Completed in September 2012),18.95,72.9
